pair_id,resume_text,jd_text,label,match_category,target_role,domain
pair_001,"Developed data science projects using Python, SQL, pandas, scikit-learn, regression, classification, A/B testing, statistics, and Tableau dashboards. Additional experience includes statistics, ETL, NumPy, Python.","Entry-Level Data Scientist role in Analytics requiring NumPy, regression, SQL, statistics, Python, scikit-learn, pandas. Preferred qualifications include Tableau, Git, ETL. Candidate should communicate results clearly, work with Git, and document model behavior.",0.85,strong,Data Scientist,Analytics
pair_002,"Built finance analytics projects using Python, SQL, time-series forecasting, financial news NLP, sentiment features, statistics, and scikit-learn. Additional experience includes statistics, scikit-learn, Python, SQL.","Entry-Level Financial Data Scientist role in Finance AI requiring Python, statistics, SQL, forecasting, time series, financial data, scikit-learn. Preferred qualifications include risk modeling, PyTorch. Candidate should communicate results clearly, work with Git, and document model behavior.",0.94,strong,Financial Data Scientist,Finance AI
pair_003,"Retail management resume with scheduling, inventory, team leadership, and customer service experience. Strong communication, teamwork, documentation, and problem-solving skills.","Junior Healthcare AI Engineer role in Healthcare AI requiring evaluation, LLMs, FHIR, Python, HL7, RAG, FastAPI, HIPAA-aware design. Preferred qualifications include FHIR resources, EHR integration, care gaps, LangGraph. Candidate should communicate results clearly, work with Git, and document model behavior.",0.22,weak,Healthcare AI Engineer,Healthcare AI
pair_004,"Retail management resume with scheduling, inventory, team leadership, and customer service experience. Strong communication, teamwork, documentation, and problem-solving skills.","Junior Healthcare AI Engineer role in Healthcare AI requiring LLMs, FastAPI, RAG, FHIR, HIPAA-aware design, evaluation. Preferred qualifications include LangGraph, FHIR resources, medical terminology. Candidate should communicate results clearly, work with Git, and document model behavior.",0.36,weak,Healthcare AI Engineer,Healthcare AI
pair_005,"Used Python, SQL, pandas, and visualization for academic analytics projects with some machine learning exposure. Some exposure to SQL, regression, NumPy.","Entry-Level Data Scientist role in Analytics requiring regression, NumPy, SQL, data visualization, statistics, pandas. Preferred qualifications include Git, ETL, Power BI, XGBoost. Candidate should communicate results clearly, work with Git, and document model behavior.",0.74,medium,Data Scientist,Analytics
pair_006,"Implemented computer vision projects using PyTorch, OpenCV, CNNs, ResNet, YOLO, data augmentation, and object detection evaluation. Additional experience includes PyTorch, object detection, image classification, MONAI.","Junior Computer Vision Engineer role in Computer Vision requiring CNNs, image classification, object detection, OpenCV, PyTorch. Preferred qualifications include MONAI, deployment, TensorFlow, YOLO. Candidate should communicate results clearly, work with Git, and document model behavior.",0.9,strong,Computer Vision Engineer,Computer Vision
pair_007,"Completed healthcare analytics coursework using Python, SQL, dashboards, and some clinical data exploration. Some exposure to Python, HL7, FastAPI.","Junior Healthcare AI Engineer role in Healthcare AI requiring FastAPI, clinical data, LLMs, evaluation, HL7, FHIR, Python, RAG. Preferred qualifications include FHIR resources, medical terminology. Candidate should communicate results clearly, work with Git, and document model behavior.",0.64,medium,Healthcare AI Engineer,Healthcare AI
pair_008,"Built full-stack class projects using Python APIs, SQL, Git, and basic machine learning models. Some exposure to APIs, Docker, FastAPI.","Entry-Level AI Application Developer role in GenAI Apps requiring FastAPI, APIs, SQL, Docker, LLMs. Preferred qualifications include ChromaDB, Hugging Face. Candidate should communicate results clearly, work with Git, and document model behavior.",0.77,medium,AI Application Developer,GenAI Apps
pair_009,"Retail management resume with scheduling, inventory, team leadership, and customer service experience. Strong communication, teamwork, documentation, and problem-solving skills.","Junior Healthcare AI Engineer role in Healthcare AI requiring evaluation, LLMs, FastAPI, clinical data, RAG, HIPAA-aware design. Preferred qualifications include LangGraph, FHIR resources. Candidate should communicate results clearly, work with Git, and document model behavior.",0.31,weak,Healthcare AI Engineer,Healthcare AI
pair_010,"Completed data science coursework and projects using Python, pandas, scikit-learn, SQL, and basic model evaluation. Some exposure to scikit-learn, TensorFlow, Docker.","Entry-Level Machine Learning Engineer role in General AI requiring Python, scikit-learn, PyTorch, model evaluation, Docker, FastAPI, TensorFlow, feature engineering. Preferred qualifications include SQL, Airflow. Candidate should communicate results clearly, work with Git, and document model behavior.",0.73,medium,Machine Learning Engineer,General AI
pair_011,"Built text classification and sentiment analysis projects using Python, NLTK, spaCy, scikit-learn, and basic transformer models. Some exposure to text classification, FastAPI, embeddings.","Junior NLP Engineer role in LLM/NLP requiring embeddings, RAG, NLP, FastAPI, text classification, transformers. Preferred qualifications include Docker, ChromaDB, sentence-transformers. Candidate should communicate results clearly, work with Git, and document model behavior.",0.61,medium,NLP Engineer,LLM/NLP
pair_012,"Developed data science projects using Python, SQL, pandas, scikit-learn, regression, classification, A/B testing, statistics, and Tableau dashboards. Additional experience includes Python, A/B testing, XGBoost, data visualization.","Entry-Level Data Scientist role in Analytics requiring NumPy, Python, data visualization, statistics, A/B testing, SQL. Preferred qualifications include Tableau, XGBoost. Candidate should communicate results clearly, work with Git, and document model behavior.",0.91,strong,Data Scientist,Analytics
pair_013,"Built Python ML projects and containerized simple APIs with Docker and GitHub version control. Some exposure to MLflow, Python, FastAPI.","Entry-Level MLOps Engineer role in MLOps requiring MLflow, monitoring, AWS, CI/CD, Docker, Python, FastAPI, model deployment. Preferred qualifications include Terraform, CloudWatch, ECS. Candidate should communicate results clearly, work with Git, and document model behavior.",0.78,medium,MLOps Engineer,MLOps
pair_014,"Developed data science projects using Python, SQL, pandas, scikit-learn, regression, classification, A/B testing, statistics, and Tableau dashboards. Additional experience includes A/B testing, NumPy, Power BI, Python.","Entry-Level Data Scientist role in Analytics requiring SQL, NumPy, regression, A/B testing, scikit-learn, data visualization, Python. Preferred qualifications include Power BI, XGBoost, experiment design. Candidate should communicate results clearly, work with Git, and document model behavior.",0.94,strong,Data Scientist,Analytics
pair_015,"Developed data science projects using Python, SQL, pandas, scikit-learn, regression, classification, A/B testing, statistics, and Tableau dashboards. Additional experience includes regression, data visualization, SQL, experiment design.","Entry-Level Data Scientist role in Analytics requiring SQL, NumPy, regression, data visualization, statistics. Preferred qualifications include Power BI, experiment design, Tableau. Candidate should communicate results clearly, work with Git, and document model behavior.",0.86,strong,Data Scientist,Analytics
pair_016,"Developed GenAI applications with Python, FastAPI, Streamlit, RAG, ChromaDB, Hugging Face models, Docker, APIs, and evaluation. Additional experience includes Docker, Streamlit, evaluation, LLMs.","Entry-Level AI Application Developer role in GenAI Apps requiring LLMs, RAG, evaluation, FastAPI, Python, APIs, SQL, Docker. Preferred qualifications include Streamlit, AWS. Candidate should communicate results clearly, work with Git, and document model behavior.",0.95,strong,AI Application Developer,GenAI Apps
pair_017,"Software support resume focused on troubleshooting tickets, documentation, and customer communication with limited analytics experience. Strong communication, teamwork, documentation, and problem-solving skills.","Entry-Level Data Scientist role in Analytics requiring SQL, NumPy, data visualization, Python, scikit-learn. Preferred qualifications include ETL, Git. Candidate should communicate results clearly, work with Git, and document model behavior.",0.16,weak,Data Scientist,Analytics
